slice,precision,recall,fbeta,number_of_samples
Prof-specialty,0.7903682719546742,0.7520215633423181,0.7707182320441989,836
Transport-moving,0.5111111111111111,0.359375,0.4220183486238532,323
Adm-clerical,0.6551724137931034,0.6129032258064516,0.6333333333333333,742
Machine-op-inspct,0.5882352941176471,0.38461538461538464,0.46511627906976744,406
Exec-managerial,0.7597087378640777,0.7944162436548223,0.7766749379652605,836
Other-service,0.5,0.13793103448275862,0.2162162162162162,656
Craft-repair,0.5886075949367089,0.49732620320855614,0.5391304347826087,864
Sales,0.6701570680628273,0.6213592233009708,0.6448362720403022,696
Handlers-cleaners,0.4,0.11764705882352941,0.1818181818181818,260
Farming-fishing,0.46153846153846156,0.3,0.3636363636363637,201
Tech-support,0.6226415094339622,0.673469387755102,0.6470588235294118,166
Protective-serv,0.8125,0.65,0.7222222222222223,127
Priv-house-serv,1.0,1.0,1.0,24
Armed-Forces,1.0,1.0,1.0,2
